Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,1.12,0.95,1.49,2.77,0.07
2q,1.4,0.98,2.16,4.49,0.08
4q,2.3,0.92,3.5,7.21,0.11
8q,3.63,1.01,5.24,9.68,0.17
12q,5.19,0.93,6.44,11.24,0.2
