Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.4,-0.3,5.7,2.6,-9.9
2q,0.1,1.1,-1.9,8.8,-40.2
4q,0.2,1.3,-1.5,23.1,-89.5
8q,-0.1,-0.2,1.8,54.8,-174.6
12q,-0.2,-0.4,3.3,76.1,-179.1
