Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,1.38,1.17,2.08,45.57,0.06
2q,2.48,1.21,3.1,35.64,0.09
4q,5.68,1.27,9.45,38.03,0.13
8q,10.93,1.38,13.81,44.49,0.17
12q,14.49,1.45,16.1,57.61,0.21
