Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-0.0021,0.0058,-0.0106,0.0075,0.0004
2q,-0.0049,0.004,-0.0138,0.0029,0.0006
4q,-0.0286,0.0045,-0.073,-0.0215,0.0009
8q,-0.0659,0.0055,-0.0993,-0.0404,0.0016
12q,-0.0889,0.0066,-0.1087,-0.0868,0.002
