Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.96,0.82,1.61,3.22,0.06
2q,1.55,0.83,2.08,4.27,0.09
4q,2.91,0.81,3.45,6.78,0.13
8q,5.21,0.81,5.68,10.87,0.17
12q,6.84,0.8,7.65,12.34,0.21
