Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,8.1,1.5,-10.5,0.9,-0.9
2q,-6.7,-0.7,-8.9,0.5,-11.6
4q,-12.9,-1.7,1.5,-0.2,-35.7
8q,12.1,5.0,12.2,2.7,-82.6
12q,22.3,-0.8,7.4,3.2,-107.5
