Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-16.4,3.0,-26.6,-2.0,-89.8
2q,-44.7,-8.1,-29.5,-9.9,-43.3
4q,-44.0,3.7,-14.4,-15.5,-20.7
8q,-34.4,-7.2,5.6,-18.9,-10.9
12q,-29.9,6.3,9.3,-20.5,-1.5
