Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-2.1,-1.4,-48.0,0.3,-78.0
2q,-2.9,-56.0,-43.5,2.0,-28.5
4q,0.7,-39.4,-46.7,6.5,-3.0
8q,-2.8,-35.0,-52.1,7.9,16.4
12q,-5.7,-28.5,-44.7,14.0,27.2
