Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.62,0.27,0.62,1.77,0.06
2q,0.84,0.4,0.82,2.24,0.08
4q,1.29,0.35,1.17,3.19,0.12
8q,1.7,0.36,2.19,4.05,0.13
12q,1.88,0.35,2.92,4.7,0.15
