Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-0.0009,0.0024,-0.0009,-0.0047,0.0001
2q,-0.0018,0.0026,-0.0016,-0.0087,0.0002
4q,-0.0034,0.0026,-0.0033,-0.0178,0.0004
8q,-0.0078,0.0026,-0.0088,-0.0452,0.0011
12q,-0.0152,0.0032,-0.0138,-0.0747,0.0016
