Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-17.9,-0.0,-60.3,-9.6,-88.1
2q,-40.4,2.1,-72.0,-13.9,-61.6
4q,-44.7,-1.1,-88.0,-17.4,-61.7
8q,-31.1,-2.5,-105.7,-23.2,-100.7
12q,-31.8,-2.2,-119.7,-19.7,-108.3
