Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-12.7,-3.1,-70.6,3.7,-84.7
2q,-28.8,-2.0,-79.8,3.1,-43.1
4q,-35.5,-9.4,-106.3,-3.6,-19.1
8q,-48.7,-7.2,-208.5,-6.2,-11.4
12q,-46.2,-6.7,-314.5,-4.3,-5.1
