,losses_samp,batch_num_samp,method_samp,params_samp_0,params_samp_1,params_samp_2
191,2.505269221095949,38,2,0.15,0.049999999999999996,0.0
192,2.530932565543261,38,2,0.18,0.09000000000000001,0.0
193,2.5768189010831675,38,2,0.23,0.01,0.05
194,2.534127961295593,38,2,0.26,0.11000000000000001,0.03
195,2.83928427915562,39,0,0.23,0.12,0.63
196,3.0383459375809814,39,0,0.78,0.46,0.8300000000000001
197,2.67045407506778,39,0,0.5,0.79,0.07
198,2.762498043563409,39,0,1.05,0.24,0.27
199,2.70084755163972,39,0,0.06,0.5700000000000001,0.47000000000000003
200,2.665411093424421,40,1,0.11,0.21,0.01
201,2.6455790582334853,40,1,0.32,0.71,0.02
202,2.5268923445276035,40,1,0.07,0.55,0.02
203,2.534378660191266,40,1,0.07,0.9,0.02
204,2.606293935709352,40,1,0.12,0.49,0.03
205,2.5340075876858963,41,2,0.24000000000000002,0.07,0.039999999999999994
206,2.557031053917188,41,2,0.24,0.030000000000000006,0.0
207,2.5198080284238884,41,2,0.27,0.09000000000000001,0.04
208,2.645479802515296,41,2,0.26,0.12000000000000001,0.08
209,2.5482675408983515,41,2,0.27,0.13,0.06
210,2.90296721684813,42,0,0.61,0.9,0.67
211,2.8726474195261877,42,0,0.33,0.05,0.87
212,2.8212490950119724,42,0,0.88,0.38,0.11
213,2.8113920689558465,42,0,0.19,0.72,0.31
214,2.984673537845619,42,0,0.74,0.16,0.51
215,2.518049565434098,43,1,0.12,0.09,0.0
216,2.434986310285867,43,1,0.18,0.63,0.02
217,2.6299002344495928,43,1,0.26,0.33,0.01
218,2.6188496303330284,43,1,0.25,0.08,0.0
219,2.573409779770456,43,1,0.24,0.31,0.0
220,2.6587062079783474,44,2,0.21000000000000002,0.07,0.05
221,2.6039878078140193,44,2,0.18,0.11000000000000001,0.029999999999999995
222,2.534715530725309,44,2,0.12000000000000001,0.11,0.0
223,2.6058466472983435,44,2,0.22,0.14,0.03
224,2.5249470548114177,44,2,0.19,0.08,0.019999999999999997
225,3.006616207502792,45,0,0.47000000000000003,0.5,0.71
226,3.297246287979541,45,0,1.02,0.8300000000000001,0.91
227,2.689950830102233,45,0,0.12,0.27,0.15
228,2.830545902298184,45,0,0.67,0.61,0.35000000000000003
229,2.8553390419635765,45,0,0.4,0.9400000000000001,0.55
230,2.5094950793028854,46,1,0.21,0.6,0.06
231,2.5345659439927246,46,1,0.03,0.09,0.08
232,2.562440678678259,46,1,0.17,0.54,0.08
233,2.615931249879134,46,1,0.2,0.53,0.08
234,2.568603525795165,46,1,0.22,0.63,0.02
235,2.4524573127178653,47,2,0.2,0.03,0.09
236,2.6595974582718283,47,2,0.18,0.039999999999999994,0.0
237,2.5013048966284797,47,2,0.16,0.58,0.0
238,2.493491493001336,47,2,0.18,0.09000000000000001,0.04
239,2.581450378645351,47,2,0.18000000000000002,0.04,0.009999999999999995
240,3.067186206403448,48,0,0.9500000000000001,0.09,0.75
241,3.024876322227575,48,0,0.26,0.42,0.9500000000000001
242,2.807142451613372,48,0,0.81,0.75,0.19
243,2.877748585484844,48,0,0.54,0.2,0.39
244,3.2564680491129603,48,0,1.09,0.53,0.59
245,2.5075359757804936,49,1,0.19,0.04,0.09
246,2.5195102243071488,49,1,0.0,0.6,0.03
247,2.553396782910402,49,1,0.18,0.03,0.09
248,2.576251722200455,49,1,0.21,0.01,0.11
249,2.6119849635587338,49,1,0.13,0.6,0.02
