Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.51,2.83,1.65,1.98,0.06
2q,0.97,3.27,2.12,2.87,0.1
4q,1.86,3.21,3.06,4.03,0.18
8q,3.42,3.25,4.08,6.75,0.32
12q,5.27,3.4,5.19,15.84,0.43
