Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-57.7,-78.0,-49.5,56.2,-85.4
2q,-55.7,-78.5,-38.4,60.0,-41.8
4q,-46.4,-113.8,-33.0,69.9,-17.7
8q,-63.1,-87.5,-36.3,81.4,-8.2
12q,-86.5,-101.3,-33.2,87.0,-5.1
