Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.51,2.36,1.14,4.73,0.03
2q,0.82,2.38,1.64,7.51,0.06
4q,1.52,2.41,2.57,13.58,0.11
8q,2.77,2.21,3.7,25.72,0.16
12q,3.7,2.32,4.58,39.06,0.2
