Country,Lag_-15,Lag_-14,Lag_-13,Lag_-12,Lag_-11,Lag_-10,Lag_-9,Lag_-8,Lag_-7,Lag_-6,Lag_-5,Lag_-4,Lag_-3,Lag_-2,Lag_-1,Lag_0,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7,Lag_8,Lag_9,Lag_10,Lag_11,Lag_12,Lag_13,Lag_14,Lag_15
at,0.1055459015199553,0.1109854169018916,0.16303137961044298,0.22713790311336715,0.28305461221657063,0.32465747909803916,0.37351958085214615,0.35061604243960104,0.2674083948759442,0.256545857430441,0.23756702990238204,0.35105802112632134,0.5212012183147005,0.4476530695599876,0.3872963261432959,0.1592275740316653,0.24059456049773986,0.28617159566533484,0.3478820186763959,0.24444757900660977,0.2628316175074607,0.2354283011445011,0.28162117114757124,0.29279035323180946,0.2725986534170407,0.22951977883777372,0.20269234314297624,0.17471159405658912,0.11791909662050744,0.09093056897702696,0.08598232071624881
be,0.10688300880726864,0.14861959941427771,0.16537562326194508,0.23549381554692053,0.26358162409879066,0.28187390607227314,0.2972877148474543,0.29321689098024967,0.2570797013784613,0.251804520339735,0.24652744949468744,0.2649612239570326,0.2853617518988605,0.28750583921758793,0.2783158630182954,0.2441671835422456,0.2927282914963559,0.3204998969604389,0.3002264306887736,0.20564278695877047,0.2141054411479126,0.22714247700638987,0.2042970267422689,0.18539262607972565,0.1628129241926742,0.14364209245797532,0.1285591564740432,0.11379287372426362,0.09781179482572032,0.0829729110569275,0.08235037200060301
bg,0.10957629757056174,0.16098113463671326,0.19732206265126417,0.2526976226119596,0.17471036103120627,0.19412455834905654,0.20959103745067165,0.26462238043338643,0.30767595147686705,0.3228898634152198,0.35594247547953783,0.24621120007808245,0.347121947131168,0.3559043242099014,0.3217241152771104,0.26002865097037,0.24973212340752451,0.2822831135809181,0.24034982422879705,0.2008940858243462,0.20951115684910201,0.23203351506782194,0.24192065511087107,0.22321718786304282,0.19129891110671843,0.17658316014534206,0.15085685520334446,0.12674991012616196,0.14213636258684925,0.13410880397094063,0.11040367368908371
cy,0.15577770231519164,0.19836729397244174,0.15118243132678644,0.18991655175670416,0.2376208341840329,0.2732617078076111,0.28049587766713413,0.2839950853843108,0.27787599964119697,0.26315108222715305,0.2614880564695929,0.2786778173858267,0.29839146626507346,0.3457608148589757,0.365699903699685,0.3478691917872599,0.4370858528880036,0.4503435845333958,0.4418134544560479,0.4957203895407509,0.48858026451761666,0.41562017756199016,0.2396679582372832,0.17927643025677736,0.19151725703998213,0.24233729469058884,0.309512150899716,0.3438363545553911,0.4186134850817647,0.41071933525508636,0.33530198799144223
cz,0.11200216373021016,0.12561480863773028,0.15414860612605175,0.20178154806294757,0.23521406597784575,0.24996380182243497,0.25470927883095273,0.23587055703184812,0.2332045456764163,0.24312749855645915,0.2707823105667724,0.3415843660152235,0.41175586938189923,0.3994455885500291,0.3387294912015758,0.1792538458207902,0.2411408467626078,0.3583364464017928,0.3801248569184449,0.23055958600134693,0.20662433065882163,0.24963994964371233,0.28570259457100416,0.2981603754377957,0.29953329281620467,0.27245521732814887,0.18974844150123296,0.12536316410162734,0.12545803276253584,0.1588142716952774,0.18623389359823697
dk,0.20190898232560855,0.15648209153996495,0.13720680324819914,0.16787354179084382,0.19151282276936993,0.2099522081073893,0.23639425038772596,0.23003892713493337,0.24102999030060568,0.24907944955056566,0.2649979373972722,0.36413004753610473,0.4246342703325238,0.432919122815009,0.37016654840325997,0.14929079971748396,0.25629743477569844,0.27824294483785506,0.28201314482931433,0.18043320072369465,0.19268198494243027,0.22827868007242302,0.2157879530346948,0.19694293289316267,0.18230091207142127,0.16959440745655416,0.18488870187345363,0.15288885756796927,0.11802633016062118,0.12212096161916307,0.1089134237100597
ee,0.21529136778143096,0.29458092891660537,0.3913730524919614,0.45086226586659384,0.4849713099475466,0.5019108150789368,0.46938896682189346,0.3850575636498932,0.30186852789009466,0.22716657698345286,0.29800891717592054,0.4337724456788002,0.601235522320705,0.6683249129732745,0.5485661618678327,0.1323683876556558,0.5012984881208506,0.6873023900348555,0.7056016041131215,0.616110953524013,0.4814894483747912,0.35678690593819506,0.2476698193308238,0.20648653001053727,0.24062422953709933,0.30435135923271334,0.37408012638982147,0.4160401842442583,0.43685207478562954,0.40880378209434026,0.35490075523553266
el,0.39707210650460106,0.44511364446773183,0.4629776164249538,0.4560279284845893,0.4189993025115014,0.3765966113472179,0.31184589814387736,0.24190713195751168,0.226751444442255,0.29065725321161523,0.38082343784939027,0.48138088104896004,0.5798889169297643,0.6218059886001939,0.5092567834660983,0.14067463027830115,0.39046813341810094,0.6060486290805704,0.6705246658057913,0.6050871962428517,0.5513858427321078,0.44175014536256885,0.34689027802235317,0.2623669189078887,0.19853828983598065,0.1785328055543775,0.21138480592266765,0.24773682576943354,0.25384251943171093,0.2899746634193941,0.2711411811675222
es,0.2657634533157149,0.2854725116160693,0.27898318491556556,0.28535395695167526,0.29461246170533745,0.2827661757410858,0.2612244144019111,0.2360468302571706,0.23963615054498655,0.27441559204240484,0.3471737326074631,0.44853729960733274,0.43489895884873986,0.4334649357916587,0.3892046663929054,0.24054479496794332,0.3046261582363381,0.3420977324387683,0.3614087054282529,0.30078460697969545,0.24834144200850264,0.2259672830086032,0.21766912364657912,0.19876794550020674,0.1921556813520127,0.18376324936989055,0.20629011387294027,0.23623750659526863,0.24252762197536165,0.2225874818791875,0.20636011359999962
fi,0.10167380316853769,0.10611992275003142,0.12561140402745427,0.19257831170671352,0.20952498980232853,0.23079898298812143,0.25711326880410945,0.2582842998112335,0.2306690721491891,0.23952779451462217,0.2879366731011951,0.38101833142137254,0.5081183592501817,0.47689347731623105,0.3305915789916989,0.1837092472442574,0.22992484316256995,0.3170326761710411,0.3261651584923914,0.25484129976576775,0.1938694507326947,0.2313882668760726,0.2597485905256153,0.35222628005410456,0.36796109121665993,0.3298271220340175,0.326474788603605,0.2946131035543654,0.12605024244180005,0.08955007083491824,0.08358104537007167
