Country,Lag_0,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7,Lag_8,Lag_9,Lag_10,Lag_11,Lag_12,Lag_13,Lag_14,Lag_15,Lag_16,Lag_17,Lag_18,Lag_19,Lag_20
at,0.0,0.523819106943864,0.6133431689601485,0.6380082601819805,0.5166498259889576,0.382672197019313,0.2678330709951616,0.2129898438081025,0.28237606508902013,0.37664664491672945,0.46929178094192764,0.538465926111815,0.5625581669333305,0.5263322406412902,0.4677792943120272,0.3953737950426496,0.25125436741543405,0.13658412299867975,0.02848525310813836,0.09491820881033,0.14123490377119285
be,0.0,0.45341876613416826,0.5688201625291474,0.5760305470937823,0.41919079563888223,0.2896443287128576,0.22297132824491914,0.2670059125909637,0.3836062405509725,0.4613308574232268,0.4804335913062772,0.5408632180406034,0.4794548959353101,0.37199423427521605,0.25662009408734326,0.14178559771713356,0.06464859563791348,0.09862932718379178,0.1829885259354985,0.19844488421525286,0.2076617460445875
bg,0.0,0.3817181889790175,0.5131841833453216,0.5366195463514443,0.4673823203995633,0.38230608343869554,0.28862615440103245,0.21471086022739894,0.2454725555717086,0.31813198750664684,0.41149131372501524,0.4129301954111853,0.39704544610162207,0.3998765895312534,0.32291292193148063,0.272086512623614,0.2076793992490234,0.06007970998270367,0.05868594148541614,0.033469650373469266,0.06176738731962934
cy,0.0,0.4769939077283043,0.6594138253981463,0.7160047255713552,0.6353643375341864,0.5355450631529322,0.40795374009157276,0.29411086728037633,0.21157335256545562,0.20506353098624241,0.26381205101623073,0.3349944113025309,0.40581051134391966,0.4663471974521165,0.4834546543225962,0.4572550933140945,0.4038482887178089,0.3552141848802713,0.3265387297155011,0.2902087942640462,0.25651912159017054
cz,0.0,0.2888416208502943,0.4328741729483815,0.46797559094727903,0.331607412943737,0.2615558225032414,0.23928815930552763,0.23639412486814643,0.28006067826115766,0.35183005363651343,0.3961602005155494,0.4114581670351406,0.35893003234680765,0.2487262024272872,0.16333635597278592,0.09694356382880519,0.08182596636242594,0.07226486756751584,0.0722189441107824,0.06569580634373669,0.08605545598513648
dk,0.0,0.4822946584975477,0.6569153997678481,0.6513527011432535,0.555180642289677,0.42287789834309464,0.29792475950949754,0.22507757811301557,0.24002943975180227,0.29193557793649544,0.38551001217596326,0.4388719651748505,0.4752619317761595,0.4751000219040101,0.44278438313178997,0.4173285706539896,0.3745181036971669,0.2984548856343566,0.24255372397629993,0.19728506078739394,0.12593052688861112
ee,0.0,0.5979034832767163,0.6813940307687254,0.6625825954835601,0.4843335277469461,0.32605401119338595,0.2189611125608232,0.273455083993268,0.3933952195130598,0.4730771503727689,0.5303193313921334,0.5153373733083286,0.4586272764914989,0.3785267318874665,0.27988243222953585,0.1820154155899474,0.0941971086588174,0.015593734271788399,0.04321318300590188,0.04850639063447402,0.07221618646035581
el,0.0,0.43525250508181534,0.5523318361660052,0.5628287774654147,0.5267778467358271,0.5262716875536065,0.47645811848165437,0.3507569042374558,0.20981697546344008,0.18377037864350304,0.21048141922969105,0.2681509946336252,0.3187617785879459,0.38980503900817987,0.4498253237002264,0.4817136543589827,0.4247636193978119,0.34405666441900506,0.3039959273412837,0.21899914407492,0.22441918574541028
es,0.0,0.3751082871967012,0.5497196434689318,0.5643327957618476,0.5492877933160851,0.434883554611883,0.34430042437925845,0.2683468119352771,0.208986169285656,0.19542069734954284,0.2568498786673867,0.30189615299885286,0.35233654424927974,0.3746934351980856,0.3893331761881914,0.3597671313504078,0.33509851092073273,0.31870170059909414,0.35255248194943795,0.2989002608591393,0.29144013344081277
fi,0.0,0.3826939626822564,0.5274490839608058,0.5071756314910802,0.33973216351924623,0.22586698495566146,0.2307560338480113,0.3299658620817766,0.4097249911968682,0.4664663204795637,0.4349819013140364,0.3849383792599412,0.3030863609024458,0.17373897678793024,0.09496254024493263,0.10471090296774524,0.16055577588985798,0.18237152051337285,0.1718092190587098,0.11171041141384634,0.09386519968637562
hu,0.0,0.28273282375594366,0.32321720517150704,0.30957610822867776,0.3322875927451186,0.3522210062552479,0.29190401229852675,0.23375704931222752,0.21861755726036392,0.20622025248688733,0.20398159379581848,0.29933477476751014,0.3960019321874202,0.4622035708947794,0.4478369665111815,0.28302982194883847,0.1024356864093961,0.0028810633873846705,0.01383435851640618,0.019226734244204513,0.06800219201222901
it,0.0,0.39384781309310163,0.43625610151848043,0.4484806952621292,0.351459180450042,0.2220471297361126,0.2118227486579529,0.21454903668401543,0.23111996417421504,0.2242148683320653,0.25040368282255016,0.29227428733559585,0.2843327354376047,0.2998063976177429,0.2922538505374244,0.25122479213979937,0.2167305273240432,0.1619989987369329,0.09755110982647272,0.015839955744503295,0.02457265492710318
