Country,Lag_0,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7,Lag_8,Lag_9,Lag_10,Lag_11,Lag_12,Lag_13,Lag_14,Lag_15,Lag_16,Lag_17,Lag_18,Lag_19,Lag_20
at,0.0,0.47072989055023123,0.42997485727053686,0.46342443042355,0.3995511139694658,0.3473857527809163,0.2516181574398538,0.21226186529185903,0.2379216279056419,0.20729764126414219,0.24371499356727766,0.22964688072638306,0.2308502553770873,0.2715623087200066,0.3041506837243827,0.22535998060293322,0.19351200703898955,0.17188094004872326,0.14483577896019406,0.16896014728409248,0.09515221562042628
be,0.0,0.36897115432713723,0.5488783159260507,0.5286007690870632,0.4036600305482909,0.2668131549924517,0.2199100104255431,0.2789633939958206,0.33206886943924224,0.3534051486728116,0.34751936436535397,0.36148787110872366,0.3298645301485851,0.2790579591756337,0.21841586431183596,0.16788844422046534,0.11857152866771656,0.004693533664827746,0.027576585516217986,0.06705131937286073,0.09878756312291492
bg,0.0,0.2467276508909863,0.2770540553186213,0.2064655281138221,0.34925951278935047,0.3104238545252078,0.22457585230541202,0.2222067673376446,0.2416843714101237,0.1861822898780399,0.1791071794363196,0.20044738002972448,0.24566955721009207,0.20899048569871997,0.11403676643258773,0.08507519207819825,0.07865998707140642,0.06057512930247333,0.034048230673364745,0.03330305052640255,0.06707234083527931
cy,0.0,0.45693848605835236,0.4760368604009077,0.48446868320366104,0.3619604515597302,0.2672150899315534,0.2105533768644943,0.20760920302828031,0.2806866536806027,0.35424913829558496,0.34966518495418264,0.3505507658360028,0.293207089394877,0.2666647377216339,0.21582307295496928,0.12582500425083565,0.06418912918154401,0.11929996747118166,0.13874414076434088,0.2005702690654888,0.1906303738470051
cz,0.0,0.3022576861869556,0.4081540143965251,0.3885339044697259,0.318875173774821,0.23762506310008952,0.2231003972957063,0.24789125514513782,0.27054074086880153,0.3102957969429467,0.32303817842887955,0.3059883749890063,0.2522784755507646,0.2033021198775516,0.14438467923412926,0.10602774833222048,0.08104004305361164,0.00727386747954246,0.014239244980251036,0.014473497471135906,0.05816271270771706
dk,0.0,0.41852272149666647,0.46600923458060767,0.32980530998212887,0.21053351221836586,0.19410112030790094,0.23551780895726943,0.25634449508008167,0.23301548814990197,0.21301706119784852,0.1909706426117925,0.19431221030511242,0.23268397522895132,0.2292309595734947,0.188320940278414,0.12722341383132046,0.09176920524198656,0.025978996595092667,0.0077245592796767945,0.03012261129301372,0.04177767483690479
ee,0.0,0.7296403697611094,0.6439233002180503,0.5952004176391957,0.4123793400208334,0.22342262545361954,0.2471180583016641,0.3485444320160454,0.4660071797710834,0.501219900835734,0.5052995793073009,0.4279286559770802,0.3667291823528224,0.257740098633855,0.1804754247931784,0.08933301490709637,0.06269687192714171,0.09331904924424983,0.10616574646692312,0.14921678971167462,0.13312675334860108
el,0.0,0.3473951213776094,0.46356022176159617,0.4652914017882992,0.4101903720084774,0.3434717933947723,0.27171425254426496,0.2298321088246705,0.21492403325220005,0.18358106484787406,0.22002375900427476,0.322211519283428,0.41649052811233367,0.42718324354989523,0.3922162714023394,0.30748174384980975,0.18840379760053586,0.06809551883097316,0.006400796635219853,0.0296033105102149,0.03906609082152084
es,0.0,0.3120858408498929,0.44914962276472387,0.5874749410455304,0.6628689529471292,0.4670015898494142,0.27472813773224875,0.2360334247905098,0.2074252972214847,0.22474209480227206,0.3252315943261118,0.3531617519819589,0.3281593270514137,0.3420173186090898,0.34885353048391976,0.28154101279041926,0.18933531538075146,0.10792765490226194,0.09275390505693804,0.04024539140321291,0.005882897239852706
fi,0.0,0.4687573750229595,0.605575730382344,0.5839799998390184,0.4512827158768164,0.2870857451032295,0.21386639775079025,0.27262301595810445,0.3626289597945232,0.3879938191074133,0.3786314461082594,0.3468996082296529,0.28345497016683435,0.20985656425817364,0.16310129964370434,0.11625381167279678,0.07716288805548956,0.025644793311244356,0.04959094739029119,0.06070865916719125,0.07220705401480741
