Country,Lag_0,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7,Lag_8,Lag_9,Lag_10,Lag_11,Lag_12,Lag_13,Lag_14,Lag_15,Lag_16,Lag_17,Lag_18,Lag_19,Lag_20
at,0.0,0.2731774315939827,0.39305103361278915,0.4451466269792171,0.29495383489907506,0.1924949743583229,0.24084815589960212,0.29905374546425717,0.3877377073385208,0.3727135277920537,0.333547678818111,0.2678322899349735,0.21173338866513203,0.13887590890627766,0.09643247842946744,0.11450689965015325,0.12235644146789988,0.1024741642657508,0.10691625551318414,0.04638546122977578,0.03653259544510903
be,0.0,0.26348937709011677,0.3339421824826047,0.3074227807344645,0.2246258194344265,0.20031621763348506,0.23789428030591148,0.25186854619586413,0.27721804444790166,0.26997196852038197,0.23560457926954906,0.17490420412504704,0.15207528395208736,0.11719933912536111,0.09128019129903335,0.08795214589734954,0.08165523938982996,0.05952933269764914,0.04185336129921962,0.019304268907954083,0.04493803720292689
bg,0.0,0.2974938827318017,0.3701422988139312,0.29980246812055944,0.18234119278013933,0.21196357554914766,0.23748277254490638,0.22944334445889045,0.247300721836579,0.1904835135064268,0.17211034534104888,0.1561292675689427,0.18851737695054252,0.18991945418928807,0.1727086161326055,0.13669591174787546,0.07354396743228206,0.02066412940125173,0.05014369443879222,0.06753654483423308,0.06922972908643497
cy,0.0,0.2870886715296798,0.3739360512335523,0.41975186745213655,0.41480647889398525,0.3396597483203704,0.2698000976573628,0.24080647029458851,0.20373354285779,0.2146237839685175,0.24091509949379414,0.25047665800424246,0.26332977220530307,0.2949463111906042,0.28130724087913983,0.21916064113194728,0.14340006565251992,0.11326483083349524,0.111220521085093,0.11865120030081332,0.09377641474886778
cz,0.0,0.37000004686582116,0.44731476852584967,0.47434823290945066,0.3918235818241667,0.2935959248870609,0.2532857227908824,0.2319899264831162,0.2138421948214636,0.2126108351503433,0.23673961809380056,0.2772765142241675,0.28529398344347506,0.21818947503047456,0.16931905578130485,0.13468632688218068,0.09815920180052261,0.08152350022730652,0.13313858345102095,0.15612437725414038,0.16691932660614625
dk,0.0,0.3126822896421285,0.4203948079189574,0.40279379097365337,0.26950539375211496,0.23095011869194387,0.22799994406141813,0.23176525219559876,0.2098405076641973,0.22903600816358904,0.20851250165190888,0.2543217425700045,0.22780439414614206,0.21179416241008667,0.23123823820690936,0.2201411009562191,0.1952427706481809,0.13441924060096536,0.07505798541686493,0.024606002600798815,0.017128657327352553
ee,0.0,0.5152139769272777,0.6656646209582889,0.636870004117094,0.5045558316603568,0.3666772976627624,0.24359806422145067,0.22920317163518614,0.3056658085120069,0.39286397654738864,0.44622006405263975,0.4645565798978038,0.45188500369807827,0.42032178643381757,0.355775665169594,0.2624460452590158,0.1726885333673106,0.07667045785529283,0.013630981485055428,0.0037277319063546395,0.025945834384952446
el,0.0,0.44565710747796033,0.6071201954849481,0.6058640548760557,0.5292320464401724,0.47487777112406543,0.3727396278383259,0.26392375789140887,0.21025273481200085,0.1982706609877047,0.22199023244880545,0.2518734101672962,0.3097683990145394,0.31584890872981825,0.3163081114283871,0.3092643047327946,0.29504780789581736,0.3028490723320242,0.32507752420990327,0.2967887504784783,0.2992047953122939
es,0.0,0.32280098493569387,0.4025289375697012,0.43069265439509674,0.38654072274976664,0.3115054581620075,0.24937375984018914,0.22121297813235904,0.2120824741313866,0.2285678002116771,0.25606774348498773,0.27184047367907266,0.27215655889361146,0.26503681959623554,0.25255994149940963,0.23557159154849364,0.19956092952111876,0.16900362964032992,0.16449701213313211,0.13273372997600813,0.12278693013976597
fi,0.0,0.36744895574299596,0.488227002449081,0.4925736542928175,0.33473431652489277,0.21495958870169735,0.21980793629385156,0.2891070995812907,0.35074709674775484,0.3359126665593218,0.3071149599789819,0.2860578230097018,0.2503138366682603,0.15346518784120036,0.11483767441179422,0.09345673154854288,0.07446472803467077,0.054833084267538,0.04441979840640414,0.02634099558325256,0.005177503028270216
hu,0.0,0.24000213720434174,0.30382294594590364,0.2888093343577306,0.24232730618433332,0.21745331010131191,0.21777771171577995,0.22678391295766462,0.2212606746675463,0.19434397750789506,0.17128281041099291,0.14725143099022986,0.12423151179811338,0.10847509582256176,0.10141123665756427,0.09734496272905296,0.09152937710401203,0.0678889292607234,0.031220563086206236,0.13128066541115346,0.15684733832320616
it,0.0,0.4042986422696154,0.4628881983299992,0.41246426330289876,0.28725531038441615,0.20689422099315247,0.24782201112052724,0.2918073604082597,0.348611378635565,0.36136011953762337,0.33639184302990915,0.30341148557918035,0.2574987984793161,0.2015962922414744,0.14277907295349626,0.09123533809622184,0.07010702249328483,0.06323834741613373,0.07630263761360286,0.06288196014532849,0.05735740437418563
lv,0.0,0.5181858034749811,0.7236256682280878,0.7461182971456027,0.6595043511157584,0.48725325772352146,0.3371828683332279,0.22769313371185493,0.2476456340932809,0.3662329190456573,0.4771455400080753,0.5521958579197754,0.5669111673560895,0.5419889452542243,0.4794933150203861,0.39597558650525083,0.3000189717047,0.21088483546841405,0.136282288064593,0.1007120731528491,0.05257640340920731
nl,0.0,0.30278535899244224,0.41191069518206785,0.4278800980541855,0.30197988121421093,0.2103114272279067,0.21807770880361782,0.24197129929719247,0.2977399205081619,0.29883485881877386,0.27797702340244856,0.2440541690950944,0.20053811901683805,0.16778723456907918,0.15614071713164168,0.12566304250159704,0.10709458985100063,0.07289837199917665,0.07541611899344502,0.09218937610009767,0.08591064737034035
pt,0.0,0.2736960433627253,0.3420961015690161,0.448035164591094,0.326793638102333,0.22896072601676096,0.22030777562064272,0.23305056210563083,0.2315712105215301,0.23762663067103182,0.23697358073245822,0.24728981033423342,0.23077674443307705,0.20448797632461294,0.1796207281362496,0.15744462933348888,0.11601596244898689,0.0703746213436957,0.09917147251481072,0.09428125932604485,0.09247714826331534
ro,0.0,0.31884456088363533,0.3036279062689276,0.30592924152670664,0.3416373830301958,0.35279967066504075,0.27205284993393886,0.21468190129028986,0.2478229533009206,0.22230734055134918,0.18610008059088212,0.20942091799488727,0.2569432551528917,0.20164928025816486,0.10893370777243781,0.10228732760203849,0.075465955296804,0.045789009505836045,0.11091164313312525,0.11949597854075962,0.08485333676771964
se,0.0,0.37016414242550777,0.4411603159558676,0.3703591899780201,0.25559685251099606,0.21728293703632306,0.27559660525917273,0.2942561162155295,0.33534976080673157,0.3340215212328208,0.2972209114790288,0.28017141169387283,0.1766779892629793,0.146431732203072,0.09331291943673017,0.09151695935383346,0.10640017920721048,0.11256428932750416,0.050053139055533075,0.04202954814211596,0.013320100011086146
si,0.0,0.31697847295620474,0.47476842681139925,0.4134290303584687,0.33995424762281845,0.2478867128974803,0.21708339310574054,0.20995811073603354,0.22137188345485884,0.22826512713862712,0.24579550274740333,0.2286404519676631,0.2321837295658333,0.16762778014762092,0.11275051809435227,0.10593239059932337,0.0736575188586285,0.02667086819434365,0.06067168637747895,0.14580413375386514,0.17298188998192046
sk,0.0,0.2560088583338554,0.3282256678952122,0.32808327587618147,0.2921233854339359,0.20511475919099514,0.22241027512257894,0.22968050650410837,0.20683922184724404,0.18161156616390411,0.17652423068975348,0.17470613635648058,0.1551202818303441,0.1371906967071162,0.11486241401855002,0.09698269554910391,0.07438555335819538,0.03033089562049074,0.06902329682637655,0.09978685553430647,0.12007537735289982
