Country,Lag_0,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7,Lag_8,Lag_9,Lag_10,Lag_11,Lag_12,Lag_13,Lag_14,Lag_15,Lag_16,Lag_17,Lag_18,Lag_19,Lag_20
at,0.0,0.2327143481071496,0.33566931476460277,0.4518109889604334,0.3184400525828517,0.2075106867982305,0.2244974405980457,0.23950484523323026,0.27342260059102536,0.289619235969869,0.24354189696623385,0.2510375500176273,0.247483016529643,0.18626405545224678,0.147418305751651,0.1186472007105317,0.07255546033106627,0.03880692770150599,0.04389130261364415,0.07508824276833959,0.08715515261776142
be,0.0,0.24751258318084116,0.22924393874071955,0.3216218292465816,0.26914544527275686,0.17270238526633885,0.20633969756770176,0.2063631583349466,0.193439073859357,0.1779396791143384,0.16597265624911434,0.15889315721430528,0.15028819983365221,0.13467568612002714,0.18110983206636858,0.1393800330006322,0.08086092012947813,0.023432812901116415,0.04726695749484151,0.015332913814796578,0.02897858550687613
bg,0.0,0.2372365590064178,0.36113848687670885,0.2698719299940391,0.22361413448457124,0.23661876778089458,0.2338613953359593,0.22317245111274137,0.25886986074220436,0.18616013316541025,0.20483284955903377,0.16821331767354958,0.2302689354502859,0.2203770204346661,0.18133481239303803,0.12014349381239393,0.06736103884105882,0.05306849014535173,0.05152881426966808,0.06650198277553009,0.05997097819831269
cy,0.0,0.20364656629156305,0.2934447413401285,0.3751000803692713,0.3331211592373616,0.289917711663114,0.2700097623732002,0.18259084494770636,0.17256097831964917,0.15841133599878698,0.1766357956670907,0.20685330657193657,0.19643304570951112,0.28407178204145905,0.34294934311561603,0.2368905049189967,0.16516797671560568,0.09488937483604509,0.11050222946305582,0.16938364826828417,0.19319509451047912
cz,0.0,0.3025182602664909,0.38424861927005266,0.37460958295431723,0.19876497452195369,0.19814294175382563,0.22293807864719115,0.23582538900292493,0.23816176433897845,0.21614984576408194,0.20465407677262554,0.1609798942229955,0.14282428343999617,0.1594994319769972,0.1966179632786989,0.2513532667970898,0.2219591577737896,0.2066219398631298,0.23269550507813513,0.1864860410616086,0.1862360763545728
dk,0.0,0.28862308437769524,0.3515145116322507,0.39996455518722474,0.32572634728552313,0.1980020905333174,0.21630074242608474,0.21488508057153152,0.19913475593026578,0.17956719096466417,0.16644090411884085,0.16315606190606757,0.1488579674308225,0.12144926310963149,0.13341586185226453,0.17577063399783063,0.2278555532205061,0.22970110865276797,0.20244690683068267,0.16004801381344336,0.118707520157464
ee,0.0,0.5100561854175646,0.7147074939830579,0.7365831114063623,0.5869888577225923,0.4432223612555952,0.30998740477231507,0.21227848781795886,0.23560212502332534,0.30197749306512756,0.3904602332762057,0.44875716903412294,0.4536101914200985,0.46693264014899444,0.4144620749363736,0.35723079741674457,0.30832789866459376,0.23348389485055424,0.1975764056951972,0.16983324337112682,0.12017863372015948
el,0.0,0.44489987164013495,0.6556109441323291,0.6838363040472013,0.5473096629625294,0.4491053989101821,0.35056419894931534,0.2556405592321287,0.2069432133002144,0.2295756056328991,0.3047280353952896,0.37010672851981263,0.40095055156465703,0.39613818272776063,0.3968518367590849,0.3601687025124262,0.3033279277354982,0.27922086423908943,0.2453261697047227,0.20848763717818644,0.19860048808697628
es,0.0,0.23890647860759232,0.3065913192354244,0.37026593750119374,0.3792280048778272,0.3023757302849115,0.2525216996444249,0.2268518867529771,0.19127658213882298,0.18923648639030102,0.1839520396450946,0.212747464154976,0.24515670602593545,0.2647970832942007,0.2711233722703444,0.24232597435413622,0.20908696215880543,0.1706404140375424,0.17388899466575555,0.13160802733576568,0.10872470299653444
fi,0.0,0.22194024635918572,0.34242344168786015,0.3890744914762578,0.2964448552827812,0.2201634038196805,0.22311970193260142,0.22098438235070214,0.31424974581701176,0.2807718820433172,0.2643023701287373,0.23262187344399515,0.22592308224564553,0.14445749993834328,0.09573755735911862,0.10634703888070826,0.08851873394037045,0.04640103575466668,0.13276478567823566,0.01777450794439154,0.03399751339954797
hu,0.0,0.28424153263659563,0.37520659552303354,0.40874904595672296,0.22750761238577136,0.19426520049045592,0.21142097918347444,0.21536342148106652,0.20434569301240582,0.20747045692123017,0.21648477852744752,0.196617369432603,0.14577849358565004,0.11492585601864486,0.11653268863003179,0.10968280903522801,0.08284368023972175,0.049844446198180334,0.06739151419853992,0.05139337467571894,0.09669342341291019
it,0.0,0.33107087347120717,0.43794056148404953,0.5297367898988082,0.34550399448607266,0.2045438699305258,0.22547559791871685,0.24583540466561676,0.2989603112877141,0.3364622564077221,0.2982432117936418,0.29460937116767516,0.2805180426191639,0.2357215625269749,0.18525384739267128,0.14857130015840303,0.10334122444136631,0.04401028974685096,0.033957607957125276,0.04314326671701261,0.050138873419870604
lv,0.0,0.4733439536900795,0.6908199009003273,0.7109062580968087,0.6088226241218115,0.42501566507436284,0.28186453514526194,0.2227122707443456,0.28022567378288216,0.39168349042884076,0.46319439876854046,0.49137784881976293,0.48133347410081,0.44664467491501797,0.39039518472377865,0.32987637786118856,0.2714868909149006,0.2036046533977391,0.14564350688914887,0.10722323190340638,0.05427650299010188
nl,0.0,0.1892311254763827,0.2870649420325191,0.5111255364610939,0.2789706858791454,0.14014958712909367,0.16872839141993803,0.20993281851464154,0.2743591531493923,0.26924121783209404,0.20589887815830377,0.21343570775048737,0.18468502102098638,0.14871159445531343,0.20932997182394592,0.1410393155601812,0.07043666283408408,0.005146627548919387,0.008398380397794543,0.022584028349955643,0.047566955993087155
pt,0.0,0.205438229324211,0.3032160878960841,0.483612396243128,0.297605798077953,0.21799168808940744,0.2201487718201405,0.21966875682331444,0.2031829976829185,0.19011873826127074,0.17949862265388153,0.184405470645725,0.16451076092137645,0.17687770311600143,0.24468124101891392,0.24264214536611176,0.21496702810265111,0.19956015186318926,0.2365325446904384,0.17882399716971703,0.15737403899174732
ro,0.0,0.2944342073997212,0.41608777866187113,0.40465460485868227,0.4797931512178654,0.43052967274550236,0.289980390837888,0.2143526191504197,0.21214067649666793,0.18965435456627722,0.19485533926838633,0.21707452705568805,0.23861414742058235,0.21229842117136408,0.1532879722025503,0.16165315000269173,0.1528604454692985,0.1447529287492728,0.1833116813081338,0.21429629646756246,0.20258292381546975
se,0.0,0.27972614401573054,0.43687218391571697,0.31611869899936196,0.2311957422823212,0.21162714089571258,0.2639445980318448,0.25620552886279563,0.30240054901885205,0.24372828201766109,0.2174661693484959,0.16735383098003292,0.14997799356271121,0.1411677257957585,0.10431792505164651,0.08423077972990627,0.07898964991004914,0.02464034368864428,0.01244464840924325,0.044559811099487937,0.04596826783882019
si,0.0,0.21162996103482606,0.49363300277685107,0.26601120793943767,0.24521407281242544,0.19327949457921917,0.21937203398556404,0.22382448650646478,0.20345606909078212,0.18789374766577682,0.16621037475756578,0.15921561436942086,0.15589727623491367,0.13283381767351118,0.11688456337186542,0.11210163517317204,0.08552463793178133,0.07207341335673012,0.0507270929990452,0.09566655310288755,0.0733182612905465
sk,0.0,0.3015960256346727,0.45523351081122043,0.5587508542775743,0.4180227802671184,0.3763959866138339,0.32631316711823954,0.24693454475226884,0.24812763421870093,0.18701257989946674,0.1927257166769934,0.16889779896894,0.22033880599544148,0.23083050195603388,0.2034891893372893,0.21516510944551842,0.19329490955717304,0.21116081210020143,0.25766015811101894,0.28317702621533314,0.3140862906352465
