country,real gdp,real household consumption,real capitalformation,wages,gdp deflator
cy,0.07167402295682548,0.1290973157596871,0.2009745208755939,0.20952776887101351,0.2579268387722864
si,0.08130162721579254,0.1335806633782372,0.16251603544293164,0.2345127346451339,0.23652217929581504
nl,0.09410246392176733,0.1283310511506777,0.11251128930888395,0.33695076737614643,0.2949696812015009
sk,0.0690995907330742,0.14590073455895197,0.1737611659605368,0.17876232246308568,0.17413195833972206
lt,0.2087019670697907,0.24809117501473876,0.22993418020602338,0.21331693028380974,0.2161302102658793
at,0.1411041600463011,0.13353143524264804,0.30164851220083944,0.2602179059432017,0.23765903779823858
hr,0.04025872795523872,0.09072234260372954,0.12413693257636167,0.26333269065333315,0.27378607753822254
pt,0.056582302426035576,0.11668963325113087,0.13854386855889625,0.16252482706301152,0.2664743750258073
cz,0.05970699944248994,0.15015273592398726,0.20330419920487347,0.1897249282422833,0.21545602142679693
ee,0.24564242986153237,0.2762945135808295,0.2981994655337797,0.32474927057453834,0.3022747262256513
it,0.10291834324366363,0.11520296408943881,0.2749692137316597,0.10638347719348824,0.271601295067021
ie,0.15084010488608954,0.27666322588293446,0.22419407830688526,0.27129950840960115,0.2093510423215561
dk,0.059219077354029544,0.12565645728772257,0.19128804263344373,0.24174839939541803,0.18081249991621307
fi,0.09687337696655964,0.12554320616623968,0.2527391216202251,0.21057616864687773,0.2520416637291272
fr,0.03916039069428155,0.10076387249784881,0.12930575728272453,0.07970640987950621,0.2187469242120719
lv,0.35445901963577264,0.3763547916021302,0.3426142726145103,0.41880642477579944,0.4197402522311433
pl,0.22334391504553075,0.17529674941242546,0.3406521205755655,0.16400824816966572,0.11950954876250414
se,0.10811312318846096,0.11071612648625974,0.20985150687364088,0.19087394007653796,0.23256539096738033
es,0.08175556149327351,0.1326932599667238,0.16432268508668876,0.15590019587510845,0.2894294584885379
be,0.0938736246999029,0.12926208880768333,0.14917966405258828,0.16561303237559047,0.2637033635185609
de,0.10948689260102241,0.10080891776328009,0.18129620066231764,0.23961107302908422,0.17905779398914506
bg,NaN,NaN,NaN,NaN,NaN
ro,0.08857280119632065,0.12497514434520322,0.16614515593995316,0.17189899570210485,0.1988548845241616
el,0.20763773381171147,0.2529525572004483,0.2296698448049257,0.28557210286799145,0.21015799974907876
hu,0.1518432103281367,0.16883651490594462,0.14531839488090653,0.11921892978679187,0.1525563521324493
