Country,Lag_-15,Lag_-14,Lag_-13,Lag_-12,Lag_-11,Lag_-10,Lag_-9,Lag_-8,Lag_-7,Lag_-6,Lag_-5,Lag_-4,Lag_-3,Lag_-2,Lag_-1,Lag_0,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7,Lag_8,Lag_9,Lag_10,Lag_11,Lag_12,Lag_13,Lag_14,Lag_15
at,0.10426065428961521,0.12175646481717155,0.15290437196257925,0.148619038112089,0.1739750637147359,0.19739946296798577,0.22172337808807224,0.24508659278820205,0.2619151174561127,0.29330336675852164,0.30535370927320116,0.31345691638176465,0.3440193853797334,0.33940678625344683,0.3393409625360141,0.3793041981717215,0.41873757722830585,0.43918814895551667,0.5369008111605692,0.552554877436081,0.46920544823471244,0.29823800619579666,0.3098819283491816,0.23810754524743663,0.36752929107232546,0.3854432464392997,0.4895808286250196,0.4395317663896951,0.3678325013783215,0.25575346695092666,0.18768970493003267
be,0.10265244667400572,0.11183158631252726,0.14173842785113927,0.18640208091570756,0.2166924460855103,0.24677796119072712,0.28141531050515284,0.33448889817786187,0.31818594891374163,0.3162481701861842,0.2926297199676809,0.29744037552106645,0.307050021963629,0.33554948006585184,0.41264334154606824,0.5626526576391516,0.5786536406481342,0.5660049035975813,0.5361596481623905,0.4735594119964567,0.3745745811106443,0.2730855383304928,0.34174674128873817,0.4568863936165953,0.5251273286467638,0.5257106983361165,0.5140229662682464,0.32696740607029434,0.21203282565355092,0.11223461498262499,0.11814069437524413
bg,0.13430171057982057,0.11482029275980572,0.1164224449355273,0.1310220772370696,0.1700205388862291,0.18576828925161754,0.2375181806585817,0.2682587662216414,0.3302312961453765,0.3224341768728137,0.33699556454903923,0.3498093921035974,0.3229262129777859,0.4105934243095527,0.44754725274052304,0.43215681197438266,0.34744527959061655,0.3168129338457165,0.2951155599978212,0.28250695566432016,0.286755382136077,0.282171157983306,0.26474132623709523,0.27608157004625156,0.2641539172085225,0.2542624855510196,0.21592868373875232,0.16411157766592532,0.13969010939085852,0.16418154160016132,0.13316151044276026
cy,0.11458138832479432,0.10187741566755967,0.10952157725841283,0.14963276152876634,0.20959790363293607,0.25866929714186887,0.3469031847109472,0.42314578157735383,0.4050652402436365,0.4116828632402017,0.4196117430248412,0.3819653835789764,0.31728988761578925,0.325101543918535,0.41746208147220387,0.5594853623187304,0.5785940083469875,0.6012992555526234,0.5199456587375643,0.46614333238470534,0.38501140684710305,0.30017618563977594,0.2585025541809299,0.26187383973948486,0.29207188615460117,0.27138491738847487,0.2341693564973749,0.19995196247861294,0.2239785820609581,0.2145376105058978,0.18338802160059925
cz,0.11040869023481296,0.11896607861797977,0.14719135873465639,0.2024370655567108,0.25528545866702856,0.29767683268776923,0.32535169300882716,0.33767497296441956,0.3470441510684723,0.35477328534831204,0.37608920953024033,0.3521066670542716,0.32853768772129865,0.34127887750787517,0.4130348549761769,0.56328619469126,0.5452186006577888,0.5037986520307719,0.4549723957111248,0.3791618798529957,0.32165272680055007,0.2870595491080331,0.28027937055691815,0.302275905790262,0.324709778603081,0.3259173081845027,0.34734633499801293,0.2938182149778644,0.14442209076801663,0.1390587565237943,0.21403552603997145
dk,0.10709051161496923,0.11202720502092994,0.12730261276985294,0.1485604428753171,0.17595397788561215,0.21244076335772724,0.24579761932452596,0.2465851123058417,0.2524531082749171,0.2973389874141441,0.33987247682410254,0.34638684804847103,0.33267173024622626,0.3338265966702765,0.3456371908442518,0.37637182484840304,0.40439863856634506,0.43097817757416784,0.4149065792095331,0.35027678999623724,0.26358701485337105,0.27539898777735533,0.4215900566517089,0.45532137763346614,0.36854631093530266,0.3192094121692769,0.2194162499571635,0.1356521543094337,0.15643740027474054,0.18928642300825782,0.167429281383206
ee,0.14440247684787477,0.11681877919349655,0.10328884137779494,0.13758406374992013,0.19479261804277107,0.283158056071462,0.3763003202534426,0.4535336429688108,0.5035274596875462,0.5333295753023509,0.5021314124877183,0.4606316204473264,0.37070475743311687,0.30803236728583405,0.3242343265452314,0.41934052741842753,0.5220407396761014,0.5895547438855334,0.6001945562133996,0.5779693644149874,0.49449940440038886,0.3702312517477248,0.269327084690718,0.2322574293929877,0.26988010695829423,0.2996632750149038,0.307477152162086,0.27846324579535614,0.24192240414070945,0.20331796843798175,0.15142735498296048
el,0.16531186713009385,0.19167535708252403,0.24136339304652096,0.2726904483769586,0.3244273220363245,0.3545838320259956,0.3510778533700027,0.3681470555573935,0.34800464129634096,0.35530787779253764,0.3351613342118714,0.31042767551773226,0.30635803889085633,0.308229988591889,0.36521869805588264,0.4185903909008568,0.44748755991218214,0.4632764619348455,0.45812854285405,0.460150860826677,0.42157825305760716,0.34181667160325846,0.3266592237512943,0.28527187341151994,0.2562213227654267,0.21366116406008562,0.19282116216921416,0.14799591917879446,0.11768943046218118,0.11117705475827372,0.10271113772994576
es,0.15276832843726293,0.1628386210477475,0.18422573542495482,0.20395062077831955,0.20898272413803498,0.2463761330490783,0.24911992200598498,0.26323209783139623,0.2589036708139618,0.25694961392791466,0.26783002808529593,0.30361945353309905,0.37548768421852236,0.4273478448486433,0.5050231295334603,0.6047783751182776,0.6070137326971159,0.5604098133481743,0.4934951986385519,0.48573102076366287,0.38730044929605767,0.2730766656289178,0.27392560611409933,0.2808819855672451,0.32984150927092387,0.5173620503490344,0.6129257698648104,0.48948732226607405,0.374341362991421,0.3887312751311362,0.2972108404053178
fi,0.21522412874612387,0.23138824789017473,0.21415941589441695,0.23401881175658873,0.2074102547384137,0.20909393600098114,0.2605052895723742,0.3223455011576808,0.39772447635329083,0.4865100296629279,0.5057699412078542,0.5276112860409812,0.50846583870507,0.4535238905575208,0.4137730210944991,0.39172403553413576,0.39586776705812116,0.4811059977413897,0.4925424552037703,0.48549681707104614,0.4214581128662302,0.3178384735271675,0.2637694551388605,0.24870747509153482,0.27792526192735095,0.31040827342491384,0.27686743616703013,0.2517982717946122,0.21289162358670335,0.13019595125796238,0.10176026633000212
