Country,Lag_-15,Lag_-14,Lag_-13,Lag_-12,Lag_-11,Lag_-10,Lag_-9,Lag_-8,Lag_-7,Lag_-6,Lag_-5,Lag_-4,Lag_-3,Lag_-2,Lag_-1,Lag_0,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7,Lag_8,Lag_9,Lag_10,Lag_11,Lag_12,Lag_13,Lag_14,Lag_15
at,0.13339220019024273,0.09181550034506622,0.11550821396223379,0.1783497999016602,0.27300248239454306,0.34609715414390685,0.3851307050795697,0.35299646514554145,0.31408422365686556,0.22119694342413096,0.321114896007521,0.4565440401954727,0.6330123718605729,0.7677852608357729,0.6105242036898275,0.21074219378087167,0.2666617158056593,0.26962804869217694,0.2672875850148109,0.317134319241896,0.3013329539853084,0.4552751545121649,0.5126572406532641,0.42618675765401165,0.31964284288681427,0.1984212717377662,0.17511815269705844,0.1986845092216031,0.2096188447816557,0.27074256997776946,0.2420786138559383
be,0.17160988433944702,0.08586520416887297,0.11686215781422853,0.14254989365802578,0.14737727653592989,0.19082188803231784,0.23810550881115203,0.2916933599110621,0.32250203918032827,0.2968693436575573,0.23851715263973947,0.21534200619542232,0.33941246979399164,0.4244322343034484,0.3523906627691819,0.19838247360400899,0.39455910874908084,0.3759880931953808,0.39554791243635234,0.3727332394296676,0.3269789423656151,0.21559909636037541,0.2419626884558386,0.33172248048070485,0.3941552731268519,0.3879846215666738,0.3321240585749873,0.23922966543875587,0.140968057264453,0.11380827015519206,0.1250858205753657
bg,0.09508575038518578,0.11045232049838774,0.09664976016897821,0.10561301613024147,0.13533017816904777,0.18088905516925813,0.2243840329209476,0.24124851512053225,0.2195604308867709,0.21941490059837662,0.24951604007226935,0.3006148877380818,0.47591723039284806,0.5346744552178045,0.42068792184302023,0.30082405884727,0.2809261348198324,0.2823366696016234,0.2929692120318096,0.24474223349225363,0.22877129385529021,0.2195802494195669,0.25091386148289485,0.21976580637352522,0.2141992969808302,0.1865609724559147,0.17309927080456897,0.14712507540245603,0.17008821174727484,0.15576455344962828,0.11820797333524075
cy,0.09603096943115809,0.13361208229458962,0.17663717095505566,0.14593959317303026,0.16331094077319114,0.17761037886013673,0.19803688882441564,0.1887015986980129,0.18993612775794308,0.23901343286948862,0.3430458167161971,0.3766826000144114,0.5220406485500485,0.6490989942739122,0.5527923557774506,0.26364035465020447,0.3391246735345003,0.26543912883472004,0.26265246942574877,0.21335240805245995,0.199574563841405,0.20503451708071876,0.21492963539895757,0.2734861981232617,0.20228347418197812,0.17678619961602304,0.23828819841658105,0.16703876572957607,0.13431926063679825,0.09480184930259004,0.08565497683349589
cz,0.19618125806530182,0.16431804323781737,0.11672718301587352,0.14696941463644314,0.23389789460653482,0.28306019428519746,0.2907284415572562,0.2964061429391541,0.26757864245274293,0.2134473695471019,0.22993548867996777,0.3538147515664816,0.46374649116599637,0.5001810060206762,0.5300997851261952,0.2070473307603649,0.41176724487164856,0.39828956376372365,0.2728154025573143,0.2210929332851756,0.2541794059297856,0.29109174939235444,0.3318557397447953,0.34039486096701904,0.2802347364710268,0.2496347596876361,0.18979007142391469,0.1406005926064685,0.12689475296489433,0.1754096267545345,0.20206100239822364
dk,0.10353986652869815,0.07967138506895795,0.16507731662634853,0.26864304164348835,0.3259838633255727,0.2950401029969548,0.27549013210958573,0.2562613404725303,0.1994802109847466,0.22230406485668752,0.2607263752761361,0.3956094388610604,0.5182375133450609,0.5639406521160202,0.48488927158139455,0.18692337449906676,0.3420390870968688,0.3983550911973251,0.36461823725751225,0.3842752662634772,0.22612789757609983,0.22005450214490035,0.23074863966914197,0.37465346813720873,0.3203008469662953,0.4103116175447798,0.28835393104236706,0.25849217352454723,0.2355280655822593,0.137995869318103,0.15976530265406863
ee,0.11957179148969391,0.243475094025568,0.3279341628058637,0.37488978416635244,0.4220264961695277,0.4455608972093433,0.4336259331597388,0.37248960408103776,0.23975215547640194,0.22143071708709353,0.337838208260807,0.5306989318989017,0.6556395318015154,0.7685977623198367,0.6600179447526533,0.2529748997313443,0.4596471052773714,0.4308867946805409,0.39912002508278766,0.33663044633031797,0.3028252177144044,0.24696247018774464,0.254737290292706,0.33138209143149466,0.4100181730227054,0.4478908511514886,0.46236571769037366,0.43819549335990443,0.4134452420296015,0.33667309665919987,0.250408873027535
el,0.12809108413835163,0.12014144414480495,0.12541475210324754,0.11755933286633687,0.14282446372449567,0.15952699856618344,0.17476327621410936,0.2001284025890101,0.27706128393610663,0.3707834234704767,0.5020924929756142,0.5944048601439876,0.6272012078689793,0.6094222671584097,0.46295756238462943,0.20550927078361425,0.33220314714580373,0.3929087011418336,0.3020342421970975,0.2604219922942875,0.2536997367704254,0.23116589494832973,0.227649304829621,0.22598333270382373,0.22924865673195233,0.22779975438966266,0.19142712488281025,0.21823190045493845,0.2644618151175506,0.25613670751417233,0.28128762898016596
es,0.07931055346304484,0.0899232034859079,0.13958408088965918,0.166842036104362,0.20110869514721302,0.22969836048087416,0.21445449532530322,0.21321723876612342,0.21739836744879815,0.26713853663464593,0.35876225456903377,0.4781068948256073,0.5765085696801996,0.6108731444738706,0.5363571248406869,0.28774545247711486,0.35977300901334985,0.3446092547863428,0.2945651363978702,0.24879210229919077,0.22516496441035366,0.2540328675638308,0.25063508054377814,0.23689149726439124,0.21233922038276012,0.19872195089017436,0.19454549602965313,0.17284397880250973,0.15684250162413427,0.16223299588536713,0.16259686628601475
fi,0.09519194308510741,0.09560823968329894,0.1296138325614327,0.15344137636202929,0.19892223526687194,0.2574974783003461,0.2977912699042454,0.3546343727911205,0.3040645293079609,0.23424847898875148,0.26993163392961944,0.3850998660939662,0.578186206588052,0.6501484711605732,0.573124435470994,0.22717065147988402,0.32307247047300497,0.33231898813758154,0.3192035279886722,0.2346215156629387,0.29138219541708477,0.3188907667315083,0.4197026383235883,0.47098320389183773,0.35588851396210774,0.2413150659493077,0.20128076410355314,0.15778958250204553,0.12415792499840393,0.17341411192735473,0.11372355937014338
