Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.35,0.36,0.5,3.27,0.06
2q,0.59,0.33,0.77,3.01,0.09
4q,1.06,0.33,1.15,4.46,0.13
8q,1.8,0.34,2.08,5.65,0.17
12q,2.4,0.34,3.03,7.16,0.21
