Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.31,0.36,0.37,3.05,0.03
2q,0.48,0.32,0.55,2.63,0.06
4q,0.83,0.33,0.75,3.94,0.11
8q,1.66,0.34,0.99,4.14,0.16
12q,2.26,0.33,1.24,4.57,0.2
