Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-0.0032,0.0009,-0.0064,-0.0079,0.0005
2q,-0.005,0.0015,-0.0103,-0.0138,0.0009
4q,-0.0077,0.0013,-0.0242,-0.0262,0.0017
8q,-0.0044,0.0012,-0.0329,-0.0289,0.0031
12q,-0.0014,0.0012,-0.0373,-0.0398,0.0042
