Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-0.013,-0.0001,-0.0171,-0.0643,0.0004
2q,-0.0257,-0.0006,-0.0198,-0.0875,0.0006
4q,-0.0506,-0.0001,-0.0293,-0.1654,0.001
8q,-0.1122,-0.0001,-0.0414,-0.2943,0.0016
12q,-0.189,-0.0014,-0.0545,-0.4406,0.0021
