Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-1.5,-5.7,-3.4,1.0,-78.5
2q,-2.4,4.8,-0.3,1.8,-25.7
4q,-2.4,-1.4,-7.3,2.8,-1.7
8q,2.5,1.2,-9.1,27.5,19.6
12q,-7.9,11.3,-11.0,46.2,29.4
