Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,1.99,2.48,3.25,4.3,0.06
2q,2.58,2.19,4.16,5.64,0.08
4q,2.97,2.29,5.59,7.51,0.11
8q,4.2,2.22,9.48,6.69,0.13
12q,6.05,1.85,13.01,6.55,0.14
