Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.71,0.27,0.81,1.86,0.06
2q,1.01,0.26,1.34,2.45,0.1
4q,1.49,0.25,2.14,3.47,0.18
8q,1.8,0.27,3.01,3.77,0.31
12q,1.74,0.26,3.22,3.73,0.42
