Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,2.5,-1.2,-0.4,-4.0,-9.9
2q,3.0,0.2,-0.7,-0.3,-40.2
4q,1.7,4.2,-0.9,2.8,-89.5
8q,-1.0,1.3,-0.5,1.7,-174.6
12q,-0.9,1.2,-0.3,1.1,-179.1
