Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,3.1,2.0,-7.3,0.5,-1.4
2q,1.8,-0.3,-12.7,0.1,-12.8
4q,8.6,-6.8,-7.7,1.0,-39.3
8q,12.3,1.8,4.6,4.7,-84.7
12q,13.2,-2.3,1.4,6.2,-111.4
