Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-0.0011,0.0023,-0.005,-0.0062,0.0004
2q,-0.0005,-0.0008,-0.0061,-0.01,0.0005
4q,-0.0035,-0.0001,-0.0125,-0.0221,0.0006
8q,-0.0129,-0.0038,-0.0295,-0.0561,0.0011
12q,-0.0253,-0.0107,-0.048,-0.0921,0.0014
