Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-0.0068,0.0055,-0.0199,-0.0184,0.0005
2q,-0.0115,0.0028,-0.0299,-0.0341,0.0009
4q,-0.0165,0.0037,-0.0463,-0.0638,0.0016
8q,-0.0249,0.0048,-0.0703,-0.0935,0.0031
12q,-0.0456,0.0045,-0.1042,-0.1239,0.0042
