Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,3.86,1.64,1.8,48.3,0.06
2q,5.02,2.03,1.68,33.09,0.08
4q,7.03,2.1,2.41,45.52,0.12
8q,11.21,2.22,4.11,52.79,0.13
12q,16.42,2.45,5.14,57.15,0.14
