Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-3.4,-0.6,15.3,-10.4,-7.1
2q,-3.1,-2.2,24.4,-8.9,-37.1
4q,-5.7,-0.6,30.4,2.1,-84.4
8q,-3.4,0.1,36.9,-3.6,-164.6
12q,-2.4,-0.1,33.6,1.3,-167.3
