Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-0.0001,0.0037,0.0003,-0.0014,0.0001
2q,-0.0001,0.0053,0.0004,-0.003,0.0002
4q,-0.0003,0.0062,0.0003,-0.0067,0.0004
8q,-0.0007,0.0056,-0.001,-0.0125,0.0011
12q,-0.0081,0.0057,-0.0052,-0.0176,0.0016
