Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,3.3,0.4,12.6,7.7,4.0
2q,13.0,14.1,21.3,16.6,8.9
4q,25.1,7.2,24.4,17.9,11.0
8q,37.3,-1.9,29.6,16.0,24.3
12q,41.0,-14.8,35.4,12.9,29.1
