Date,Open,High,Low,Close,Adj Close,Volume
1992-11-01,123.750961,127.980217,123.397011,126.224075,126.224075,0
1992-12-01,126.246765,131.301895,125.856514,129.709122,129.709122,0
1993-01-01,129.527618,134.015518,129.255341,132.481735,132.481735,0
1993-02-01,133.262238,138.929977,132.540726,138.775696,138.775696,0
1993-03-01,139.388306,145.350998,138.362747,144.525116,144.525116,0
1993-04-01,144.606796,147.960251,142.283432,142.496704,142.496704,0
1993-05-01,142.523941,144.384445,138.140396,139.891998,139.891998,0
1993-06-01,139.864777,147.692520,138.267456,147.116211,147.116211,0
1993-07-01,147.134369,155.515717,146.095200,153.795883,153.795883,0
1993-08-01,153.777740,166.642471,152.212189,165.943634,165.943634,0
1993-09-01,165.961792,165.989014,154.794205,158.746658,158.746658,0
1993-10-01,158.764801,175.931381,158.755722,173.998276,173.998276,0
1993-11-01,174.570038,177.837280,167.146164,174.007355,174.007355,0
1993-12-01,175.336929,189.567551,175.336929,187.988388,187.988388,0
1994-01-01,188.129059,199.078827,187.448380,199.078827,199.078827,0
1994-02-01,199.859329,199.977310,187.988388,190.928894,190.928894,0
1994-03-01,190.547714,194.409409,180.805008,183.259979,183.259979,0
1994-04-01,181.181656,194.413940,181.086349,187.439301,187.439301,0
1994-05-01,187.634430,189.835281,180.269547,181.862320,181.862320,0
1994-06-01,182.747192,185.147705,169.932388,174.043655,174.043655,0
1994-07-01,173.544495,185.733078,173.181473,185.238464,185.238464,0
1994-08-01,185.501663,192.948227,184.839127,190.334442,190.334442,0
1994-09-01,190.348053,190.937973,180.904846,182.542999,182.542999,0
1994-10-01,181.866867,188.483002,176.035751,187.239639,187.239639,0
1994-11-01,186.608887,188.310562,181.267868,185.778458,185.778458,0
1994-12-01,185.728546,190.107544,183.250900,188.079147,188.079147,0
1995-01-01,188.219818,190.152924,183.368881,185.193085,185.193085,0
1995-02-01,185.964508,189.159134,184.562332,185.034256,185.034256,0
1995-03-01,184.934433,186.055267,174.815079,178.517944,178.517944,0
1995-04-01,177.596771,189.445023,177.356262,189.177292,189.177292,0
1995-05-01,189.735443,196.455963,189.631073,195.816132,195.816132,0
1995-06-01,198.066895,198.615967,195.040161,196.206375,196.206375,0
1995-07-01,195.643692,210.509598,195.516632,207.891281,207.891281,0
1995-08-01,207.596313,211.526077,207.079010,207.950272,207.950272,0
1995-09-01,208.009262,216.308929,207.700684,211.580521,211.580521,0
1995-10-01,211.385391,211.516998,200.952942,205.817490,205.817490,0
1995-11-01,205.390930,217.329941,203.920685,216.957840,216.957840,0
1995-12-01,217.103058,220.910294,212.288422,220.243225,220.243225,0
1996-01-01,221.318695,232.173157,221.060028,228.424927,228.424927,0
1996-02-01,227.998367,234.088120,225.139542,232.890137,232.890137,0
1996-03-01,233.579895,241.266953,227.971146,241.253342,241.253342,0
1996-04-01,241.684433,252.552521,241.684433,251.667648,251.667648,0
1996-05-01,251.644958,259.073364,248.618240,258.696747,258.696747,0
1996-06-01,258.447144,259.790344,250.251846,254.267822,254.267822,0
1996-07-01,254.553711,256.200928,230.888962,243.104782,243.104782,0
1996-08-01,244.425278,258.315552,242.297043,250.029495,250.029495,0
1996-09-01,250.796387,261.814209,247.901260,261.814209,261.814209,0
1996-10-01,261.383118,271.271057,260.947510,261.841461,261.841461,0
1996-11-01,263.574890,286.431915,263.366150,286.363831,286.363831,0
1996-12-01,286.336609,294.196136,267.609009,294.159821,294.159821,0
1997-01-01,290.289063,311.299164,287.157959,306.611603,306.611603,0
1997-02-01,306.275818,342.936890,304.710266,334.646271,334.646271,0
1997-03-01,334.147125,353.505463,317.892639,336.248138,336.248138,0
1997-04-01,317.066742,347.933014,316.762726,346.390167,346.390167,0
1997-05-01,350.977905,369.914246,348.613708,358.928162,358.928162,0
1997-06-01,360.139771,397.617645,360.135223,390.956116,390.956116,0
1997-07-01,394.885864,456.622955,393.365692,446.217712,446.217712,0
1997-08-01,448.572845,459.055237,392.725861,394.014618,394.014618,0
1997-09-01,395.566559,432.867462,385.075104,417.479706,417.479706,0
1997-10-01,416.013977,439.311157,347.129822,390.057617,390.057617,0
1997-11-01,396.206390,409.216309,380.755096,400.108917,400.108917,0
1997-12-01,404.011444,422.503052,396.809906,414.607239,414.607239,0
1998-01-01,420.216003,434.873169,401.778839,434.101746,434.101746,0
1998-02-01,437.673004,490.711090,432.268463,485.696777,485.696777,0
1998-03-01,485.982666,520.057190,477.673920,511.153961,511.153961,0
1998-04-01,512.361023,544.429810,501.266052,511.693970,511.693970,0
1998-05-01,533.244080,556.554871,515.410461,543.858032,543.858032,0
1998-06-01,542.283447,553.401123,515.020203,544.674866,544.674866,0
1998-07-01,548.286987,600.648926,548.286987,557.848145,557.848145,0
1998-08-01,547.692505,553.809509,472.423645,493.093445,493.093445,0
1998-09-01,472.187683,502.432281,401.678986,423.900726,423.900726,0
1998-10-01,407.296814,456.527649,366.578949,450.678406,450.678406,0
1998-11-01,459.127838,519.394653,458.034210,499.437317,499.437317,0
1998-12-01,490.166534,546.499084,450.986969,538.358215,538.358215,0
1999-01-01,545.539978,587.510010,497.630005,532.090027,532.090027,0
1999-02-01,538.799988,547.359985,505.940002,536.119995,536.119995,0
1999-03-01,536.140015,551.280029,511.170013,536.929993,536.929993,0
1999-04-01,531.750000,576.659973,530.039978,573.520020,573.520020,0
1999-05-01,571.820007,583.799988,540.789978,554.059998,554.059998,0
1999-06-01,556.020020,583.760010,550.099976,561.190002,561.190002,0
1999-07-01,570.580017,596.150024,543.159973,552.770020,552.770020,0
