Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-0.0061,0.0066,-0.0158,-0.0172,0.0004
2q,-0.0119,0.0061,-0.0213,-0.0316,0.0006
4q,-0.0211,0.0078,-0.0305,-0.0525,0.001
8q,-0.0339,0.0078,-0.0437,-0.0799,0.0016
12q,-0.0538,0.0079,-0.0649,-0.1206,0.0021
