Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.94,1.14,1.85,3.51,0.06
2q,1.51,1.16,2.32,5.81,0.09
4q,2.44,1.27,3.26,8.36,0.13
8q,4.0,1.2,4.53,10.17,0.18
12q,6.01,1.13,6.63,13.88,0.21
