Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.27,0.62,0.75,1.53,0.06
2q,0.62,0.55,1.07,2.62,0.08
4q,1.65,0.58,2.19,5.1,0.11
8q,4.34,0.56,4.98,10.0,0.13
12q,6.63,0.49,7.23,13.45,0.15
