Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.0001,0.0009,-0.0026,-0.0046,0.0004
2q,0.0021,-0.0007,-0.0018,-0.007,0.0004
4q,0.005,-0.0007,-0.0052,-0.0138,0.0006
8q,0.0045,-0.0004,-0.0078,-0.0225,0.0011
12q,-0.0028,0.0001,-0.0139,-0.0462,0.0014
