Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,17.1,0.7,24.3,0.1,3.5
2q,18.0,4.3,35.0,1.3,11.0
4q,20.9,2.6,40.4,1.3,13.6
8q,7.3,-4.6,26.6,1.6,24.5
12q,-0.5,11.8,15.4,1.7,30.8
