Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.46,0.53,0.63,18.85,0.06
2q,0.77,0.5,0.87,16.08,0.08
4q,1.32,0.47,1.44,17.67,0.12
8q,2.45,0.51,2.61,19.35,0.13
12q,3.59,0.45,3.82,21.55,0.14
