Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,1.8,2.5,18.3,-1.2,4.9
2q,11.5,5.7,24.4,0.2,11.9
4q,0.8,2.0,16.6,-2.5,15.6
8q,-10.4,-7.2,0.3,-4.7,27.3
12q,-6.6,-18.9,-2.0,-5.1,31.9
