Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.94,0.8,1.31,3.26,0.06
2q,1.37,0.78,1.57,4.26,0.08
4q,2.89,0.8,2.88,6.95,0.11
8q,5.75,0.87,5.67,11.38,0.13
12q,7.29,0.95,7.8,12.97,0.14
