Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-131.5,-2.0,1.3,-11.6,-83.6
2q,-106.9,-0.9,-0.1,-20.7,-42.9
4q,-58.8,-1.1,8.3,-25.2,-18.5
8q,-22.4,-1.6,12.6,-17.5,-11.0
12q,-13.8,-1.2,14.3,-9.5,-3.3
