Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.63,0.62,0.98,1.82,0.06
2q,1.22,0.61,1.65,3.19,0.09
4q,2.44,0.64,2.89,5.91,0.13
8q,4.76,0.61,5.24,10.58,0.18
12q,6.56,0.56,6.94,13.6,0.21
