Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-0.6,-1.2,-10.5,0.1,-2.6
2q,-2.8,0.5,-19.9,-1.0,-15.8
4q,7.3,4.0,-14.8,4.5,-39.9
8q,6.0,2.2,1.7,3.2,-85.7
12q,10.6,3.4,11.7,5.5,-102.3
