Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-0.0011,0.0034,-0.0032,-0.0022,0.0005
2q,-0.0012,0.0039,-0.0043,-0.0033,0.0009
4q,0.0003,0.0043,-0.0029,-0.0028,0.0016
8q,0.0094,0.0037,0.0046,0.0026,0.0031
12q,0.0169,0.0035,0.0115,0.0037,0.0042
