Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,1.71,0.75,1.7,10.59,0.03
2q,2.85,0.76,2.79,13.27,0.06
4q,5.44,0.77,5.14,17.06,0.11
8q,9.87,0.83,9.66,25.87,0.16
12q,12.33,0.82,12.55,30.04,0.2
