Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-0.0,1.8,7.2,-3.8,-9.9
2q,-0.2,2.6,12.1,-3.9,-40.2
4q,0.6,0.2,11.5,-5.8,-89.5
8q,0.3,0.1,8.5,-5.1,-174.6
12q,0.0,-0.0,4.5,-9.7,-179.1
