Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.0005,0.0095,-0.0062,0.0021,0.0004
2q,0.0027,0.0094,-0.0045,0.0032,0.0006
4q,0.0095,0.0096,0.0009,0.0078,0.0009
8q,0.0259,0.0102,0.0164,0.0431,0.0016
12q,0.0252,0.0105,0.015,0.0462,0.002
