Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,3.2,-0.7,8.9,-4.1,-7.1
2q,3.3,-0.4,11.7,-4.3,-37.1
4q,1.8,-0.1,9.3,-1.3,-84.4
8q,0.8,-0.1,8.3,-2.3,-164.6
12q,1.0,-0.1,5.6,-3.4,-167.3
