Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,6.9,-9.3,-41.3,-5.3,-86.9
2q,6.0,-6.3,-15.0,-1.1,-43.2
4q,-5.6,-5.3,-4.5,0.9,-18.1
8q,-20.5,-7.2,-7.1,-8.1,-9.6
12q,11.2,-2.7,5.4,-3.0,-1.9
