Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.34,0.35,0.62,3.3,0.06
2q,0.53,0.33,1.04,3.06,0.1
4q,0.94,0.32,1.62,4.4,0.18
8q,1.48,0.35,2.52,5.18,0.31
12q,1.63,0.34,3.39,5.71,0.42
