Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,1.1,-2.9,0.3,-1.3,-9.9
2q,-2.6,-3.7,-0.0,-1.1,-40.2
4q,-2.8,-0.1,0.4,-0.6,-89.5
8q,-6.6,-0.1,-0.1,-1.2,-174.6
12q,-9.0,0.1,-0.4,-1.4,-179.1
