Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-2.6,-2.0,-20.8,-3.1,-0.7
2q,11.1,-0.1,-32.4,0.5,-13.5
4q,23.6,-3.6,-17.2,8.8,-36.6
8q,20.7,2.5,4.3,24.5,-81.6
12q,12.1,8.4,9.2,30.8,-100.3
