Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-4.1,-1.3,-0.4,-0.6,-9.9
2q,-1.7,-1.3,-0.4,-0.4,-40.2
4q,-0.4,-0.1,0.4,-0.6,-89.5
8q,0.5,-0.1,0.2,-0.2,-174.6
12q,-1.1,-0.1,0.4,-0.3,-179.1
