Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,1.3,-6.9,-9.1,0.5,-86.2
2q,-1.1,-4.4,-6.3,3.6,-59.2
4q,-7.0,-3.6,-12.7,6.9,-62.3
8q,-15.9,-9.3,-13.3,28.2,-102.3
12q,-41.3,-7.1,-17.7,42.9,-107.9
