Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,1.94,2.51,3.43,4.32,0.06
2q,2.55,2.4,4.41,5.54,0.1
4q,3.1,2.34,5.87,7.2,0.18
8q,5.0,2.46,9.85,6.62,0.32
12q,7.93,2.23,13.8,6.96,0.42
