Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,1.11,1.01,0.97,3.45,0.03
2q,1.38,1.02,1.68,4.57,0.06
4q,2.32,0.99,2.99,6.83,0.11
8q,4.34,1.01,5.92,10.23,0.16
12q,6.03,1.03,8.61,12.25,0.2
